seed,N_train,method,mlp_width,mlp_depth,mlp_lr,mlp_epochs,train_mse,test_mse_vs_f,max_error_vs_f,mse_vs_closed_form,max_error_vs_closed_form,L_hat,L_used
12,200,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,5.629400395123347e-05,5.172891647504703e-05,0.04260403040054528,9.738223437265476e-05,0.04766946561862129,5.195528741067938,5.715081615174732
13,200,Closed-form,,,,,0.0,5.53775268929187e-05,0.038234235475030465,0.0,0.0,5.207445075856784,5.728189583442463
13,200,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,4.915209313471567e-06,7.452125340404689e-06,0.01872941973808495,6.161745525554598e-05,0.042277982893354604,5.207445075856784,5.728189583442463
14,200,Closed-form,,,,,0.0,5.027535865890924e-05,0.04099344435209484,0.0,0.0,5.2062338395131995,5.72685722346452
14,200,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,2.9372483884746565e-05,2.9334684926984524e-05,0.03111529472473351,7.743195028390954e-05,0.041495491280192365,5.2062338395131995,5.72685722346452
15,200,Closed-form,,,,,0.0,5.932351627607902e-05,0.04072555407936718,0.0,0.0,5.207480466716713,5.728228513388385
15,200,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,0.00014625897753401833,0.00013803131292580383,0.02707159641388157,0.00019046658454032766,0.04239259471625423,5.207480466716713,5.728228513388385
16,200,Closed-form,,,,,0.0,4.6398811220925055e-05,0.03246095084312495,0.0,0.0,5.207237326020943,5.727961058623038
16,200,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,3.0013486572630378e-06,4.5504348606358044e-06,0.013943673402101675,4.93883881581561e-05,0.03340282739239342,5.207237326020943,5.727961058623038
17,200,Closed-form,,,,,0.0,3.215375455855233e-05,0.022794269085198042,0.0,0.0,5.206007455010525,5.726608200511578
17,200,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,6.342746411306645e-07,1.6782875880782698e-06,0.006647178262502829,3.252198534110112e-05,0.02541800903950763,5.206007455010525,5.726608200511578
18,200,Closed-form,,,,,0.0,4.9036471090895164e-05,0.036475178490184,0.0,0.0,5.202460812911668,5.722706894202835
18,200,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,5.5971273180906244e-06,5.482467980337304e-06,0.016035647422105948,5.451268602887593e-05,0.03768888038608287,5.202460812911668,5.722706894202835
19,200,Closed-form,,,,,0.0,3.444073189630746e-05,0.02857691900524681,0.0,0.0,5.195846444538575,5.715431088992434
19,200,ReLU MLP (W=64),64.0,3.0,0.001,5000.0,2.4030824879167908e-06,7.203862985192164e-06,0.02420735481384495,4.15850797712775e-05,0.02983131666601846,5.195846444538575,5.715431088992434
0,200,Closed-form,,,,,0.0,3.965026085652387e-05,0.03165441412101189,0.0,0.0,5.198762112401221,5.718638323641343
0,200,ReLU MLP (W=128),128.0,3.0,0.001,5000.0,6.559446884018457e-07,8.935453187408929e-07,0.007974149018556864,3.951888626854063e-05,0.02846382064441566,5.198762112401221,5.718638323641343
1,200,Closed-form,,,,,0.0,4.987096471488596e-05,0.043654752278892484,0.0,0.0,5.200352061531939,5.720387267685133
1,200,ReLU MLP (W=128),128.0,3.0,0.001,5000.0,8.775884435660579e-07,1.4158936288495258e-06,0.006260217458040507,4.98239039984404e-05,0.043548905547735495,5.200352061531939,5.720387267685133
2,200,Closed-form,,,,,0.0,3.947847560989673e-05,0.027465843986417493,0.0,0.0,5.200317222143673,5.720348944358041
2,200,ReLU MLP (W=128),128.0,3.0,0.001,5000.0,1.079823463198998e-06,7.703602970754002e-06,0.028973282605440298,5.690574958127895e-05,0.05643912659185779,5.200317222143673,5.720348944358041
3,200,Closed-form,,,,,0.0,4.9437324594767997e-05,0.04587461339478538,0.0,0.0,5.197224524797576,5.716946977277335
3,200,ReLU MLP (W=128),128.0,3.0,0.001,5000.0,2.9060356323253274e-06,3.148954025715122e-06,0.009021641045839579,5.1894296649520854e-05,0.047608386712283735,5.197224524797576,5.716946977277335
4,200,Closed-form,,,,,0.0,8.512718726385336e-05,0.054328716034077074,0.0,0.0,5.205582202954382,5.726140423249821
4,200,ReLU MLP (W=128),128.0,3.0,0.001,5000.0,1.0239511194749592e-06,3.7962514852003814e-06,0.015470863610536845,8.229262413643289e-05,0.0514846036360424,5.205582202954382,5.726140423249821
5,200,Closed-form,,,,,0.0,8.057420730967234e-05,0.049145373227183375,0.0,0.0,5.200155415247178,5.720170956771896
5,200,ReLU MLP (W=128),128.0,3.0,0.001,5000.0,1.3340996506001473e-06,3.328809490428878e-06,0.006510960369722207,7.736839032280576e-05,0.044051821102339295,5.200155415247178,5.720170956771896
6,200,Closed-form,,,,,0.0,3.881706050172883e-05,0.031201382171364866,0.0,0.0,5.205547825990701,5.7261026085897715
