run,method,d,metric,N_train,N_test,N_lip,test_mse,empirical_lipschitz,L_hat_train,L_used_cf,width,mlp_depth,target_scalar_ratio,stored_scalars,formula_scalars,scalar_ratio_to_formula
27345,MLP target=1.0x,100,l2,1000,2000,1000,0.009163703156306255,0.2876262045602289,,,200.0,3.0,1.0,100801,101001,0.9980198215859248
27345,MLP target=1.5x,100,l2,1000,2000,1000,0.008223956985929802,0.27167721462078165,,,250.0,3.0,1.5,151001,101001,1.495044603518777
27345,MLP target=2.0x,100,l2,1000,2000,1000,0.008602754183324741,0.28122301478440975,,,293.0,3.0,2.0,202171,101001,2.0016732507598936
28345,Closed form,100,l2,1000,2000,1000,0.19218941738010908,0.04419761729965179,0.2508227116225178,0.2633638472036437,,,1.0,101001,101001,1.0
28345,MLP target=0.5x,100,l2,1000,2000,1000,0.008768133494488486,0.29954438627836044,,,135.0,3.0,0.5,50491,101001,0.4999059415253314
28345,MLP target=1.0x,100,l2,1000,2000,1000,0.008788529668157321,0.29227187197153215,,,200.0,3.0,1.0,100801,101001,0.9980198215859248
28345,MLP target=1.5x,100,l2,1000,2000,1000,0.007192289085377208,0.2886398485106193,,,250.0,3.0,1.5,151001,101001,1.495044603518777
28345,MLP target=2.0x,100,l2,1000,2000,1000,0.007931140247077133,0.2795453396398698,,,293.0,3.0,2.0,202171,101001,2.0016732507598936
29345,Closed form,100,l2,1000,2000,1000,0.1995381890833777,0.041571297161576266,0.25366855063584526,0.26635197816763756,,,1.0,101001,101001,1.0
29345,MLP target=0.5x,100,l2,1000,2000,1000,0.011167330991894103,0.2658166643146543,,,135.0,3.0,0.5,50491,101001,0.4999059415253314
29345,MLP target=1.0x,100,l2,1000,2000,1000,0.01044997672501257,0.25659593381194673,,,200.0,3.0,1.0,100801,101001,0.9980198215859248
29345,MLP target=1.5x,100,l2,1000,2000,1000,0.01014734791086977,0.2679516924184152,,,250.0,3.0,1.5,151001,101001,1.495044603518777
29345,MLP target=2.0x,100,l2,1000,2000,1000,0.010316273731838648,0.2591353167953749,,,293.0,3.0,2.0,202171,101001,2.0016732507598936
30345,Closed form,100,l2,1000,2000,1000,0.20313168878848176,0.041832369780805116,0.2457585962584278,0.2580465260713492,,,1.0,101001,101001,1.0
30345,MLP target=0.5x,100,l2,1000,2000,1000,0.012130980414266333,0.2690260775134578,,,135.0,3.0,0.5,50491,101001,0.4999059415253314
30345,MLP target=1.0x,100,l2,1000,2000,1000,0.012324965761353925,0.2733618408509863,,,200.0,3.0,1.0,100801,101001,0.9980198215859248
30345,MLP target=1.5x,100,l2,1000,2000,1000,0.010093219855081386,0.27378166905974466,,,250.0,3.0,1.5,151001,101001,1.495044603518777
30345,MLP target=2.0x,100,l2,1000,2000,1000,0.010782967195295087,0.27841606309867845,,,293.0,3.0,2.0,202171,101001,2.0016732507598936
31345,Closed form,100,l2,1000,2000,1000,0.20460895519505237,0.041574901290954945,0.2485110783341474,0.2609366322508548,,,1.0,101001,101001,1.0
31345,MLP target=0.5x,100,l2,1000,2000,1000,0.01124086531711232,0.28862037798793594,,,135.0,3.0,0.5,50491,101001,0.4999059415253314
31345,MLP target=1.0x,100,l2,1000,2000,1000,0.01050767046779667,0.2844357435208487,,,200.0,3.0,1.0,100801,101001,0.9980198215859248
31345,MLP target=1.5x,100,l2,1000,2000,1000,0.009686225137700394,0.2776993660144058,,,250.0,3.0,1.5,151001,101001,1.495044603518777
31345,MLP target=2.0x,100,l2,1000,2000,1000,0.009577246868848758,0.28244837925209576,,,293.0,3.0,2.0,202171,101001,2.0016732507598936
