sigma,case,experiment,group,d,family,method,target_scalar_ratio,width,mlp_depth,stored_scalars,formula_scalars,scalar_ratio_to_formula,formula_L,beta_mode,cv_folds,final_refit_n,optimizer_updates,completed_runs,test_mse_mean,test_mse_std,train_noisy_mse_mean,train_noisy_mse_std,train_clean_mse_mean,train_clean_mse_std,empirical_lipschitz_mean,empirical_lipschitz_std,lipschitz_bound_mean,lipschitz_bound_std,training_seconds_mean,training_seconds_std,beta_selected_mean,beta_selected_std,cv_validation_mse_mean,cv_validation_mse_std,final_average_count_mean_mean,final_average_count_mean_std,clean_test_variance_mean,clean_test_variance_std,mse_percent_of_formula,mse_percent_of_constant,observed_comparison
0.8,folds_T1_d100,Folding: 1 layer,Tied,100,formula,Formula,1.0,,,101001,101001,1.0,1.0,cv,5,1000,0,2,0.12057984439187927,0.004498383022135742,0.713304627845871,0.01736808529953081,0.12167231854051322,0.00441895448706887,0.0038525661653914115,0.0054483513210362424,1.0,0.0,0.3496432209994964,0.022880439600968288,9.37459037361463,1.0691671651659724,0.7138409169682453,0.018107206066506336,919.1,114.39290663323496,0.11995726076464659,0.003582751384873505,100.0,99.96535912332826,Reference
0.8,folds_T1_d100,Folding: 1 layer,Tied,100,unconstrained,ReLU MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,2,0.3501299226158565,0.004607694118262431,1.5932150415150464e-14,9.284917823945671e-15,0.6063394333861729,0.012683511480416807,0.38339388041784894,0.019822392394031857,13.126302032152669,0.1272157686500543,7.801412378499663,0.07067443536243827,9.37459037361463,1.0691671651659724,0.7138409169682453,0.018107206066506336,919.1,114.39290663323496,0.11995726076464659,0.003582751384873505,290.37184811580073,290.27126076200545,Formula win
0.8,folds_T1_d100,Folding: 1 layer,Tied,100,spectral,Spectral MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,2,0.17403402292014536,0.007419714710439299,0.16460405899593003,0.004927544977903852,0.21883869707787942,0.013005461391905565,0.21225123107991828,0.010356269273541361,0.9999989655661689,6.261215271972443e-08,9.218812985000113,0.3762768864356087,9.37459037361463,1.0691671651659724,0.7138409169682453,0.018107206066506336,919.1,114.39290663323496,0.11995726076464659,0.003582751384873505,144.33094004877162,144.28094254583016,Formula win
0.8,folds_T1_d100,Folding: 1 layer,Tied,100,orthogonal,Orthogonal MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,2,0.17155477532989521,0.012546312385896454,0.011299694135706473,0.0008990087482629626,0.47807738005783806,0.017751785189932957,0.21812838843729015,0.0009947051869517534,0.99999898687485,2.8207900365291484e-09,42.17576426599953,0.7569129122203604,9.37459037361463,1.0691671651659724,0.7138409169682453,0.018107206066506336,919.1,114.39290663323496,0.11995726076464659,0.003582751384873505,142.27483556235953,142.22555031203743,Formula win
0.8,folds_T1_d100,Folding: 1 layer,Tied,100,constant,Training-mean constant,,,,1,101001,9.900892070375541e-06,1.0,cv,5,1000,0,2,0.12062162878154493,0.004439597618979429,0.7130805744447462,0.017687502111643553,0.12131784506519441,0.0049182111881177675,0.0,0.0,0.0,0.0,0.0,0.0,9.37459037361463,1.0691671651659724,0.7138409169682453,0.018107206066506336,919.1,114.39290663323496,0.11995726076464659,0.003582751384873505,100.03465288073343,100.0,Reference
0.8,folds_T4_d100,Folding: 4 layers,Tied,100,formula,Formula,1.0,,,101001,101001,1.0,1.0,cv,5,1000,0,2,0.04352200566630632,0.0018691027402692702,0.6517973386183173,0.030051226073491713,0.042580273060689,0.0026572873460744277,0.012244332420037835,0.017316100970622087,1.0,0.0,0.406838010499996,0.006689226613717287,9.072184232530288,1.4968340312323618,0.6516792937322753,0.02776800207647253,695.446,430.6874267122272,0.04217817535706662,0.0026689051229389525,100.0,100.90164285522293,Reference
0.8,folds_T4_d100,Folding: 4 layers,Tied,100,unconstrained,ReLU MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,2,0.296302857266449,0.009029736185535129,3.3164113556696726e-08,4.690054015454027e-08,0.6062837413992257,0.012761731010615944,0.4014625388845431,0.032819029859582745,13.126536500346226,1.8214222061975724,7.676984134001032,0.16889383778788727,9.072184232530288,1.4968340312323618,0.6516792937322753,0.02776800207647253,695.446,430.6874267122272,0.04217817535706662,0.0026689051229389525,680.8115865299826,686.9500755574601,Formula win
0.8,folds_T4_d100,Folding: 4 layers,Tied,100,spectral,Spectral MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,2,0.10893245331239654,0.003218552523905785,0.14511655610141405,0.0009132247687528224,0.2041931249347859,0.008074751118640911,0.19900837175598451,0.029450086269270353,0.9999989487309628,7.120609500725711e-08,9.199059345999558,0.06485298291799038,9.072184232530288,1.4968340312323618,0.6516792937322753,0.02776800207647253,695.446,430.6874267122272,0.04217817535706662,0.0026689051229389525,250.2928154267702,252.549562714202,Formula win
0.8,folds_T4_d100,Folding: 4 layers,Tied,100,orthogonal,Orthogonal MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,2,0.10749049475607779,0.0002593706904799123,0.006651647530447051,0.0013225134786655009,0.5003610711949268,0.0014282712085959199,0.2107744807200792,0.03748306440465272,0.9999990035571924,3.679339712548889e-08,42.19115975499881,0.781946569753809,9.072184232530288,1.4968340312323618,0.6516792937322753,0.02776800207647253,695.446,430.6874267122272,0.04217817535706662,0.0026689051229389525,246.97964422925094,249.206518545299,Formula win
0.8,folds_T4_d100,Folding: 4 layers,Tied,100,constant,Training-mean constant,,,,1,101001,9.900892070375541e-06,1.0,cv,5,1000,0,2,0.04313309915949848,0.0013188830935871084,0.6508746240896706,0.02874583717773608,0.04188145840759177,0.0016712010991570313,0.0,0.0,0.0,0.0,0.0,0.0,9.072184232530288,1.4968340312323618,0.6516792937322753,0.02776800207647253,695.446,430.6874267122272,0.04217817535706662,0.0026689051229389525,99.10641409821578,100.0,Reference
