case,experiment,group,d,family,method,width,mlp_depth,target_scalar_ratio,stored_scalars,formula_scalars,scalar_ratio_to_formula,formula_L_mode,optimizer_updates,completed_runs,test_mse_mean,test_mse_std,train_mse_mean,train_mse_std,empirical_lipschitz_mean,empirical_lipschitz_std,L_used_cf_mean,L_used_cf_std,L_hat_train_mean,L_hat_train_std,target_euclidean_L_mean,target_euclidean_L_std,lipschitz_bound_mean,lipschitz_bound_std,normalized_mse_mean,normalized_mse_std,training_seconds_mean,training_seconds_std,mse_percent_of_formula,mse_percent_of_constant,observed_comparison
folds_T1_d100,Folding: 1 layer,(Expected) Clear near ties [85%-115%],100,formula,Formula,,,1.0,101001,101001,1.0,fixed,0,2,0.1315295724069144,0.005525759501969496,0.0,0.0,0.14326556538015184,0.013916532033658023,1.0,0.0,0.27650381673578783,0.01342701427953232,1.0,0.0,1.0,0.0,1.095469571224223,0.01219270753558983,0.13276721650072432,0.004364840759959387,100.0,109.56578792944926,Reference
folds_T1_d100,Folding: 1 layer,(Expected) Clear near ties [85%-115%],100,unconstrained,ReLU MLP,200.0,3.0,1.0,100801,101001,0.9980198215859248,fixed,1001,2,0.14037661461377923,0.010699704536152354,8.655217325674609e-13,1.2194956812542713e-12,0.1586491299107034,0.01510426117616892,1.0,0.0,0.27650381673578783,0.01342701427953232,1.0,0.0,6.277661302867253,0.16858277264099042,1.1685357577386934,0.053035405292508116,8.788109297500341,0.05337165404381832,106.7262761103599,116.9354853480754,Near tie
folds_T1_d100,Folding: 1 layer,(Expected) Clear near ties [85%-115%],100,spectral,Spectral MLP,200.0,3.0,1.0,100801,101001,0.9980198215859248,fixed,1001,2,0.12340429581182208,0.005545243101747523,3.090122238369085e-08,4.3652927051094576e-08,0.13261548809911772,0.005823617614818783,1.0,0.0,0.27650381673578783,0.01342701427953232,1.0,0.0,0.9999990037950334,1.0290481749853441e-09,1.027750182921671,0.014446768105240187,10.62602343999788,0.23925329313858945,93.822471672032,102.79733034234619,Near tie
folds_T1_d100,Folding: 1 layer,(Expected) Clear near ties [85%-115%],100,orthogonal,Orthogonal MLP,200.0,3.0,1.0,100801,101001,0.9980198215859248,fixed,1001,2,0.12606065073331488,0.004570634539640762,1.2091254975866926e-12,2.031367216024008e-13,0.10656713791172438,0.0008211725735057751,1.0,0.0,0.27650381673578783,0.01342701427953232,1.0,0.0,0.9999990091075017,4.330490772900602e-09,1.0500139609407257,0.005640458415969718,43.82215243149949,1.177265102881242,95.84205926201884,105.01010739824063,Near tie
folds_T1_d100,Folding: 1 layer,(Expected) Clear near ties [85%-115%],100,constant,Training-mean constant,,,,1,101001,9.900892070375541e-06,fixed,0,2,0.12004620684296807,0.003708063937035488,0.12009405846443855,0.0032581519415927364,0.0,0.0,1.0,0.0,0.27650381673578783,0.01342701427953232,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,91.26936600354776,100.0,Reference
folds_T4_d100,Folding: 4 layers,(Expected) Clear near ties [85%-115%],100,formula,Formula,,,1.0,101001,101001,1.0,fixed,0,2,0.053245264416178065,0.0031133007490860357,0.0,0.0,0.11366401028201614,0.003646554549461081,1.0,0.0,0.17977547109489284,0.03254971266157958,1.0,0.0,1.0,0.0,1.2615415065761737,0.006316822706467719,0.14834743149913265,0.01946172751818484,100.00000000000001,126.13410457577628,Reference
folds_T4_d100,Folding: 4 layers,(Expected) Clear near ties [85%-115%],100,unconstrained,ReLU MLP,200.0,3.0,1.0,100801,101001,0.9980198215859248,fixed,1001,2,0.050212401508847086,0.0026242845487647816,1.283775242982311e-15,1.8227256279480044e-16,0.0970920139333149,0.013748935442927056,1.0,0.0,0.17977547109489284,0.03254971266157958,1.0,0.0,3.8984447282165826,0.45490515845609225,1.1899185872669076,0.013355429662162754,9.454805303499597,0.5496197785695668,94.3039762491827,118.94947602125931,Near tie
folds_T4_d100,Folding: 4 layers,(Expected) Clear near ties [85%-115%],100,spectral,Spectral MLP,200.0,3.0,1.0,100801,101001,0.9980198215859248,fixed,1001,2,0.04917741508679206,0.0025620474754751007,1.2017352727634068e-05,1.0074752192292045e-05,0.09339881922645388,0.002211187343381989,1.0,0.0,0.17977547109489284,0.03254971266157958,1.0,0.0,0.9999989952098653,2.8599010161235733e-08,1.1653979216320136,0.013273480943041588,10.175706437999906,0.029947874298824534,92.36016691063698,116.49766951742436,Near tie
folds_T4_d100,Folding: 4 layers,(Expected) Clear near ties [85%-115%],100,orthogonal,Orthogonal MLP,200.0,3.0,1.0,100801,101001,0.9980198215859248,fixed,1001,2,0.047814089011418814,0.0028128135402029813,1.4575781885615204e-12,7.510080002676729e-13,0.07935251631125471,0.00952739207894442,1.0,0.0,0.17977547109489284,0.03254971266157958,1.0,0.0,0.9999989755944871,1.2887179398161471e-08,1.1328476540049017,0.005267088910529993,43.29787415700048,0.014310639169418228,89.7997024443191,113.26805058985336,Near tie
folds_T4_d100,Folding: 4 layers,(Expected) Clear near ties [85%-115%],100,constant,Training-mean constant,,,,1,101001,9.900892070375541e-06,fixed,0,2,0.042213217904274625,0.0026792254910661083,0.040657671806835924,0.0033312603456820676,0.0,0.0,1.0,0.0,0.17977547109489284,0.03254971266157958,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,79.28069917040087,100.0,Reference
