sigma,case,run,beta_selected,cv_validation_mse,final_refit_n,final_average_count_min,final_average_count_mean,final_average_count_max
0.8,folds_T4_d100,23345,10.130605726325488,0.6151569705009402,1000,998,999.986,1000
0.8,folds_T4_d100,24345,9.22338730307246,0.7049074497433934,1000,847,987.424,1000
0.8,folds_T4_d100,25345,8.618575020903775,0.7098054245587986,1000,444,843.212,995
0.8,folds_T4_d100,26345,7.408950456566403,0.6676681319543037,1000,3,61.716,316
0.8,folds_T4_d100,27345,7.711356597650745,0.6552461795839897,1000,20,181.2,622
0.8,folds_T4_d100,28345,9.525793444156804,0.7107554453362503,1000,951,997.848,1000
0.8,folds_T4_d100,29345,8.920981161988117,0.6847059930720056,1000,642,941.832,1000
0.8,folds_T4_d100,30345,8.316168879819433,0.7364163597672858,1000,196,630.8,942
0.8,folds_T4_d100,31345,9.525793444156804,0.6747268653085676,1000,947,997.51,1000
0.8,folds_T4_d100,32345,9.22338730307246,0.7233983539441823,1000,874,987.946,1000
0.8,folds_T4_d100,33345,8.316168879819433,0.6597723368262026,1000,129,624.296,972
0.8,folds_T4_d100,34345,9.828199585241146,0.6627005564355237,1000,990,999.804,1000
0.8,folds_T4_d100,35345,9.22338730307246,0.6746942416906144,1000,875,987.122,1000
0.8,folds_T4_d100,36345,8.920981161988117,0.7235320356031832,1000,597,940.21,1000
0.8,folds_T4_d100,37345,8.316168879819433,0.7071383310875661,1000,240,627.688,948
0.8,folds_T4_d100,38345,8.013762738735089,0.6687728288466704,1000,68,404.894,813
0.8,folds_T4_d100,39345,8.013762738735089,0.6761369980789448,1000,64,373.226,832
0.8,folds_T4_d100,40345,10.130605726325488,0.6832104950780652,1000,998,999.988,1000
0.8,folds_T4_d100,41345,7.408950456566403,0.6751584654660507,1000,5,65.474,413
0.8,voronoi_K64_d100,12345,7.711356597650745,0.6678107623561439,1000,16,183.634,664
0.8,voronoi_K64_d100,13345,8.920981161988117,0.6428114423503123,1000,647,946.166,1000
0.8,voronoi_K64_d100,14345,10.130605726325488,0.6964289081125263,1000,998,999.982,1000
0.8,voronoi_K64_d100,15345,9.525793444156804,0.7275254747758011,1000,944,997.738,1000
0.8,voronoi_K64_d100,16345,9.22338730307246,0.6563313204214781,1000,880,988.47,1000
0.8,voronoi_K64_d100,17345,8.013762738735089,0.6520226200645097,1000,75,388.788,854
0.8,voronoi_K64_d100,18345,8.316168879819433,0.7215534662681768,1000,186,640.578,974
0.8,voronoi_K64_d100,19345,8.316168879819433,0.6618078165849962,1000,145,640.582,943
0.8,voronoi_K64_d100,20345,8.920981161988117,0.6709645641761602,1000,667,944.5,1000
0.8,voronoi_K64_d100,21345,9.525793444156804,0.741258008212872,1000,975,998.366,1000
0.8,voronoi_K64_d100,22345,9.525793444156804,0.6975884686914158,1000,960,998.234,1000
0.8,voronoi_K64_d100,23345,10.130605726325488,0.6319249451623888,1000,998,999.986,1000
0.8,voronoi_K64_d100,24345,8.013762738735089,0.6735865321068227,1000,57,386.458,860
0.8,voronoi_K64_d100,25345,8.316168879819433,0.7249126305480481,1000,212,644.546,955
0.8,voronoi_K64_d100,26345,8.316168879819433,0.659301579505748,1000,216,624.766,958
0.8,voronoi_K64_d100,27345,8.618575020903775,0.6699306649126947,1000,444,829.56,994
0.8,voronoi_K64_d100,28345,8.316168879819433,0.707642762058259,1000,194,636.948,963
0.8,voronoi_K64_d100,29345,8.013762738735089,0.6832148278117399,1000,69,382.488,875
0.8,voronoi_K64_d100,30345,8.316168879819433,0.751157320439592,1000,196,630.8,942
0.8,voronoi_K64_d100,31345,9.828199585241146,0.6811709240281841,1000,988,999.706,1000
0.8,voronoi_K64_d100,32345,9.828199585241146,0.7261921554773219,1000,991,999.82,1000
0.8,voronoi_K64_d100,33345,8.013762738735089,0.668370280852744,1000,44,380.796,870
0.8,voronoi_K64_d100,34345,9.525793444156804,0.6547230469421721,1000,958,997.92,1000
0.8,voronoi_K64_d100,35345,7.711356597650745,0.6572918413839625,1000,17,188.374,551
0.8,voronoi_K64_d100,36345,8.920981161988117,0.6873453355465137,1000,597,940.21,1000
0.8,voronoi_K64_d100,37345,9.525793444156804,0.7157410164311746,1000,961,998.282,1000
0.8,voronoi_K64_d100,38345,7.711356597650745,0.6719122627826504,1000,20,193.1,562
0.8,voronoi_K64_d100,39345,8.013762738735089,0.670171017289824,1000,64,373.226,832
0.8,voronoi_K64_d100,40345,10.130605726325488,0.6975522665977791,1000,998,999.988,1000
0.8,voronoi_K64_d100,41345,7.711356597650745,0.672239572040208,1000,25,185.162,689
