case,experiment,group,target_family,target_level,run,d,N_train,N_test,N_lip,formula_scalars,metric,formula_L_mode,L_used_cf,L_hat_train,cv_folds,cv_offset,cv_mse,cv_offsets,cv_scores,cv_fold_L_D,target_euclidean_L,train_mean_baseline_mse,family,method,target_scalar_ratio,width,mlp_depth,stored_scalars,scalar_ratio_to_formula,test_mse,train_mse,normalized_mse,lipschitz_bound,requested_nn_L,empirical_lipschitz,optimizer_updates,training_seconds
affine_l1_d100,"Affine, ||w||_1=1",(Expected) Clear losses,affine,1,13345,100,1000,2000,1000,101001,l2,fixed,1.0,0.05940323195788326,0,,,[],[],[],0.12287360164708781,0.0052476818811577515,unconstrained,ReLU MLP,1.0,200.0,3.0,100801,0.9980198215859248,0.00027535984962508316,1.5952295727980174e-16,0.05247266428511723,2.1469186063991366,,0.050902646856584674,1001,8.666739418000361
affine_l1_d100,"Affine, ||w||_1=1",(Expected) Clear losses,affine,1,13345,100,1000,2000,1000,101001,l2,fixed,1.0,0.05940323195788326,0,,,[],[],[],0.12287360164708781,0.0052476818811577515,spectral,Spectral MLP,1.0,200.0,3.0,100801,0.9980198215859248,0.00014984713696944657,2.001803837892403e-14,0.028554920127206163,0.9999989896145833,1.0,0.04789218166771687,1001,9.758642470002087
affine_l1_d100,"Affine, ||w||_1=1",(Expected) Clear losses,affine,1,13345,100,1000,2000,1000,101001,l2,fixed,1.0,0.05940323195788326,0,,,[],[],[],0.12287360164708781,0.0052476818811577515,orthogonal,Orthogonal MLP,1.0,200.0,3.0,100801,0.9980198215859248,0.002868855813773889,1.1771238032341965e-13,0.5466901155107667,0.9999990164969694,1.0,0.052837953670577066,1001,44.306668624998565
folds_T4_d100,Folding: 4 layers,(Expected) Clear near ties [85%-115%],folds,4,12345,100,1000,2000,1000,101001,l2,fixed,1.0,0.20279159364356938,0,,,[],[],[],1.0,0.044107716417335324,formula,Formula,1.0,,,101001,1.0,0.055446700487729955,0.0,1.2570748384048773,1.0,,0.11108550683212555,0,0.162108951000846
folds_T4_d100,Folding: 4 layers,(Expected) Clear near ties [85%-115%],folds,4,12345,100,1000,2000,1000,101001,l2,fixed,1.0,0.20279159364356938,0,,,[],[],[],1.0,0.044107716417335324,constant,Training-mean constant,,,,1,9.900892070375541e-06,0.044107716417335324,0.04301322858716556,1.0,0.0,,0.0,0,0.0
folds_T4_d100,Folding: 4 layers,(Expected) Clear near ties [85%-115%],folds,4,12345,100,1000,2000,1000,101001,l2,fixed,1.0,0.20279159364356938,0,,,[],[],[],1.0,0.044107716417335324,unconstrained,ReLU MLP,1.0,200.0,3.0,100801,0.9980198215859248,0.05206805090904174,1.1548890778058568e-15,1.1804748723871323,4.220111250557626,,0.1068139794191047,1001,9.843445176000387
folds_T4_d100,Folding: 4 layers,(Expected) Clear near ties [85%-115%],folds,4,12345,100,1000,2000,1000,101001,l2,fixed,1.0,0.20279159364356938,0,,,[],[],[],1.0,0.044107716417335324,spectral,Spectral MLP,1.0,200.0,3.0,100801,0.9980198215859248,0.05098905623042238,4.893427133690328e-06,1.1560121532472385,0.9999990154324194,1.0,0.0918352736614746,1001,10.154530093001085
folds_T4_d100,Folding: 4 layers,(Expected) Clear near ties [85%-115%],folds,4,12345,100,1000,2000,1000,101001,l2,fixed,1.0,0.20279159364356938,0,,,[],[],[],1.0,0.044107716417335324,orthogonal,Orthogonal MLP,1.0,200.0,3.0,100801,0.9980198215859248,0.04980304853990968,9.265353388469004e-13,1.1291232597191534,0.9999989847070991,1.0,0.08608939985729931,1001,43.28775500700067
affine_l1_d100,"Affine, ||w||_1=1",(Expected) Clear losses,affine,1,12345,100,1000,2000,1000,101001,l2,fixed,1.0,0.05338145081451498,0,,,[],[],[],0.12397248170334584,0.00527274127024296,formula,Formula,1.0,,,101001,1.0,0.005574784081352551,0.0,1.0572838293458828,1.0,,0.045361712449545954,0,0.17478574000051594
affine_l1_d100,"Affine, ||w||_1=1",(Expected) Clear losses,affine,1,12345,100,1000,2000,1000,101001,l2,fixed,1.0,0.05338145081451498,0,,,[],[],[],0.12397248170334584,0.00527274127024296,constant,Training-mean constant,,,,1,9.900892070375541e-06,0.00527274127024296,0.004948985192461228,1.0,0.0,,0.0,0,0.0
affine_l1_d100,"Affine, ||w||_1=1",(Expected) Clear losses,affine,1,12345,100,1000,2000,1000,101001,l2,fixed,1.0,0.05338145081451498,0,,,[],[],[],0.12397248170334584,0.00527274127024296,unconstrained,ReLU MLP,1.0,200.0,3.0,100801,0.9980198215859248,0.0002972552415822599,2.1500652660253967e-16,0.05637584443216248,2.103102755614379,,0.05085936943242461,1001,9.409163233998697
affine_l1_d100,"Affine, ||w||_1=1",(Expected) Clear losses,affine,1,12345,100,1000,2000,1000,101001,l2,fixed,1.0,0.05338145081451498,0,,,[],[],[],0.12397248170334584,0.00527274127024296,spectral,Spectral MLP,1.0,200.0,3.0,100801,0.9980198215859248,0.00018029987860161272,1.906266709144645e-14,0.03419471378562536,0.999998975141205,1.0,0.04831892761731456,1001,10.227006949000497
affine_l1_d100,"Affine, ||w||_1=1",(Expected) Clear losses,affine,1,12345,100,1000,2000,1000,101001,l2,fixed,1.0,0.05338145081451498,0,,,[],[],[],0.12397248170334584,0.00527274127024296,orthogonal,Orthogonal MLP,1.0,200.0,3.0,100801,0.9980198215859248,0.0027650205669616634,2.1191917918566453e-13,0.524399060231957,0.999999024282877,1.0,0.04135753123168542,1001,43.77923494700008
tanh_ridge_d100,Tanh ridge,(Expected) Clear losses,tanh_ridge,1,12345,100,1000,2000,1000,101001,l2,fixed,1.0,0.24436125998248612,0,,,[],[],[],1.0,0.20229051495258688,formula,Formula,1.0,,,101001,1.0,0.16360516140595072,0.0,0.8087633839100005,1.0,,0.14972358422493512,0,0.13122217999989516
tanh_ridge_d100,Tanh ridge,(Expected) Clear losses,tanh_ridge,1,12345,100,1000,2000,1000,101001,l2,fixed,1.0,0.24436125998248612,0,,,[],[],[],1.0,0.20229051495258688,constant,Training-mean constant,,,,1,9.900892070375541e-06,0.20229051495258688,0.19519559745840534,1.0,0.0,,0.0,0,0.0
tanh_ridge_d100,Tanh ridge,(Expected) Clear losses,tanh_ridge,1,12345,100,1000,2000,1000,101001,l2,fixed,1.0,0.24436125998248612,0,,,[],[],[],1.0,0.20229051495258688,unconstrained,ReLU MLP,1.0,200.0,3.0,100801,0.9980198215859248,0.009762721676630049,8.460675530183885e-16,0.048260896853805774,3.9645913335337837,,0.2716314559026249,1001,8.45757873399998
tanh_ridge_d100,Tanh ridge,(Expected) Clear losses,tanh_ridge,1,12345,100,1000,2000,1000,101001,l2,fixed,1.0,0.24436125998248612,0,,,[],[],[],1.0,0.20229051495258688,spectral,Spectral MLP,1.0,200.0,3.0,100801,0.9980198215859248,0.011466414913783978,2.050131864774506e-10,0.05668290931224083,0.9999990128120504,1.0,0.24980753186258461,1001,9.023719794000499
tanh_ridge_d100,Tanh ridge,(Expected) Clear losses,tanh_ridge,1,12345,100,1000,2000,1000,101001,l2,fixed,1.0,0.24436125998248612,0,,,[],[],[],1.0,0.20229051495258688,orthogonal,Orthogonal MLP,1.0,200.0,3.0,100801,0.9980198215859248,0.07300171716223433,0.00502450336067276,0.3608756306707933,0.9999990026844797,1.0,0.19357180572783964,1001,41.910253621001175
